ID,DESCRIPTION,Attribut1,Additional Feature,Application,Characteristic,Temp,Height,Length in mm,Rating,Material,Size,Code,Joule-integral-Nom (J),LC Risk,Maximum AC Voltage Rating,Maximum DC Voltage Rating,Maximum Power Dissipation,Mounting,Mounting Feature,Number of Terminals,Operating Temperature-Max (Cel),Operating Temperature-Min (Cel),Physical Dimension,Pre-arcing time-Min (ms),Product Diameter,Product Length,Rated Breaking Capacity (A),Rated Current (A),Rated Voltage (V),Rated Voltage(AC) (V),Rated Voltage(DC) (V),SIMILAR_PARTS
a1,indicator red fast movement 1.6a 250v holder plastic 5 x 20mm ceramic box cccpsevdeculus electric indicator very fast blow 1.6a 250vac 1500a ir inlineholder 5x20mm,fast,,primary protection in equipment,very fast,,20mm,5.2mm,1.6a,ceramic,5 x 20mm,,0.755j,low,250v,,4w,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,3ms,5.2mm,20mm,1500a,1.6a,250v,250v,,"['A253', 'A254', 'A97', 'A478', 'A252']"
a2,non resettable indicators electric indicator very fast blow 6.3a 250vac 1500a ir inlineholder 5x20mm,,,primary protection in equipment,very fast,,20mm,5.2mm,,ceramic,5 x 20mm,e2,36.7j,low,,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,3ms,5.2mm,20mm,1500a,6.3a,250v,250v,,"['A4', 'A16', 'A10', 'A15', 'A99']"
a3,indicator red fast movement 8a 250v holder plastic 5 x 20mm ceramic box kcpsevdeculus electric indicator very fast blow 8a 250vac 1500a ir inlineholder 5x20mm,fast,,primary protection in equipment,very fast,,20mm,5.2mm,8a,ceramic,5 x 20mm,e2,81.9j,low,250v,,4w,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,8a,250v,250v,,"['A81', 'A19', 'A247', 'A278', 'A246']"
a4,non resettable indicators electric indicator very fast blow 10a 250vac 1500a ir inlineholder 5x20mm,,,primary protection in equipment,very fast,,20mm,5.2mm,,ceramic,5 x 20mm,e2,141j,low,,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,10a,250v,250v,,"['A2', 'A16', 'A10', 'A15', 'A99']"
a5,indicator red fast movement 12.5a 250v holder plastic 5 x 20mm ceramic box pseculus electric indicator very fast blow 12.5a 250vac 500a ir inlineholder 5x20mm,fast,,primary protection in equipment,very fast,,20mm,5.2mm,12.5a,ceramic,5 x 20mm,,203j,low,250v,,6.9typw,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,500a,12.5a,250v,250v,,"['A6', 'A57', 'A267', 'A56', 'A255']"
a6,indicator red fast movement 12.5a 250v holder plastic 5 x 20mm ceramic bulk pseculus electric indicator very fast blow 12.5a 250vac 500a ir inlineholder 5x20mm,fast,,primary protection in equipment,very fast,,20mm,5.2mm,12.5a,ceramic,5 x 20mm,,203j,low,250v,,6.9typw,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,500a,12.5a,250v,250v,,"['A5', 'A267', 'A57', 'A56', 'A255']"
a7,indicator red fast movement 20a 250v holder plastic 6.3 x 32mm glass box electric indicator very fast blow 20a 250vac 1000a ir h inlineholder,fast,,industrial electronic,very fast,,31.8mm,6.35mm,20a,glass,6.3 x 32mm,,846j,low,250v,,11.5typw,holder,inlineholder,2.0,85cel,-40cel,6.35mm  x  31.8mm,20ms,6.35mm,31.8mm,1000a,20a,250v,250v,,"['A115', 'A438', 'A460', 'A493', 'A484']"
a8,indicator slow blow movement 1.25a 5 x 20mm ceramic electric indicator 5 x 20mm,slow blow,,power supply adapterprimary protection on pcbswitching mode power supply,,,,,1.25a,ceramic,5 x 20mm,,,,,,5.4w,,,,,,,,,,,,,,,"['A121', 'A323', 'A336', 'A340', 'A21']"
a9,indicator red slow blow movement 1a 250v holder plastic melf 5 x 20mm ceramic box ccccsapsevdeculus electric indicator time lag blow 1a 250vac 300vdc 1500a ir inlineholder 5x20mm,slow blow,rated breaking capacity at 300 vdc: 1500 a,power supply adapterprimary protection in equipmentswitching mode power supply,time lag,,20mm,5.2mm,1a,ceramic,5x20mm,,1.1j,low,250v,300v,2.5w,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,1a,250v,250v,300v,"['A26', 'A24', 'A242', 'A266', 'A293']"
a10,non resettable indicators electric indicator time lag blow 2a 250vac 300vdc 1500a ir inlineholder 5x20mm,,rated breaking capacity at 300 vdc: 1500 a,power supply adapterprimary protection on pcbswitching mode power supply,time lag,,20mm,5.2mm,,ceramic,5x20mm,,9.2j,low,,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,2a,250v,250v,300v,"['A16', 'A15', 'A2', 'A4', 'A99']"
a11,indicator red slow blow movement 2a 250v axial 5 x 20mm ceramic tr culus electric indicator time lag blow 2a 250vac 300vdc 1500a ir through hole,slow blow,rated breaking capacity at 300 vdc: 1500 a,primary protection on pcbpower supply adapter for laptopswitching mode power supply,time lag,,22.5mm,5.4mm,2a,ceramic,5 x 20mm,e3,9.2j,low,250v,300v,2.5w,through hole,through hole,2.0,125cel,-55cel,5.4mm  x  22.5mm,10ms,5.4mm,22.5maxmm,1500a,2a,250v,250v,300v,"['A107', 'A34', 'A32', 'A233', 'A234']"
a12,red indicator 5 x 20 mm electric indicator time lag blow 2.5a 250vac 300vdc 1500a ir inlineholder 5x20mm,,rated breaking capacity at 300 vdc: 1500 a,,time lag,,20mm,5.2mm,,,5x20mm,,11.7j,low,,,,,inlineholder,,125cel,-55cel,5.2mm  x  20mm,10ms,,,1500a,2.5a,250v,250v,300v,"['A111', 'A105', 'A91', 'A13', 'A37']"
a13,indicator red slow blow movement 2.5a 250v holder plastic melf 5 x 20mm ceramic bulk ccccsapseulculus electric indicator time lag blow 2.5a 250vac 300vdc 1500a ir inlineholder 5x20mm,slow blow,rated breaking capacity at 300 vdc: 1500 a,power supply adapterprimary protection in equipmentswitching mode power supply,time lag,,20mm,5.2mm,2.5a,ceramic,5x20mm,e2,11.7j,low,250v,300v,2.5w,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,2.5a,250v,250v,300v,"['A37', 'A35', 'A255', 'A239', 'A299']"
a14,indicator red slow blow movement 3.15a 250v holder plastic 5 x 20mm ceramic bulk ccccsapseulvdeculus electric indicator time lag blow 3.15a 250vac 300vdc 1500a ir inlineholder 5x20mm,slow blow,rated breaking capacity at 300 vdc: 1500 a,power supply adapterprimary protection in equipmentswitching mode power supply,time lag,,20mm,5.2mm,3.15a,ceramic,5 x 20mm,e2,33.7j,low,250v,300v,4w,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,3.15a,250v,250v,300v,"['A40', 'A38', 'A324', 'A92', 'A446']"
a15,non resettable indicators electric indicator time lag blow 4a 250vac 150vdc 1500a ir inlineholder 5x20mm,,rated breaking capacity at 150 vdc: 1500 a,power supply adapterprimary protection on pcbswitching mode power supply,time lag,,20mm,5.2mm,,ceramic,5x20mm,,62.4j,low,,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,4a,250v,250v,150v,"['A16', 'A10', 'A2', 'A4', 'A99']"
a16,non resettable indicators electric indicator time lag blow 5a 250vac 150vdc 1500a ir inlineholder 5x20mm,,rated breaking capacity at 150 vdc: 1500 a,,time lag,,20mm,5.2mm,,,5x20mm,,97.5j,low,,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,5a,250v,250v,150v,"['A15', 'A10', 'A2', 'A4', 'A99']"
a17,indicator red slow blow movement 6.3a 250v holder plastic melf 5 x 20mm ceramic bulk cccpseculus electric indicator time lag blow 6.3a 250vac 150vdc 1500a ir inlineholder 5x20mm,slow blow,rated breaking capacity at 150 vdc: 1500 a,power supply adapterprimary protection in equipmentswitching mode power supply,time lag,,20mm,5.2mm,6.3a,ceramic,5x20mm,e2,171j,low,250v,150v,4w,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,6.3a,250v,250v,150v,"['A49', 'A47', 'A241', 'A258', 'A259']"
a18,indicator slow blow movement 8a holder 5 x 20mm ceramic electric indicator 5 x 20mm,slow blow,,power supply adapterprimary protection in equipmentswitching mode power supply,,,,,8a,ceramic,5 x 20mm,,,,250v,150v,4w,holder,,2.0,,,,,5.2mm,20mm,,,,,,"['A248', 'A282', 'A240', 'A336', 'A340']"
a19,indicator red slow blow movement 8a 250v holder plastic melf 5 x 20mm ceramic bulk kcpsevdeculus electric indicator time lag blow 8a 250vac 150vdc 1000a ir inlineholder 5x20mm,slow blow,rated breaking capacity at 150 vdc: 1500 a,power supply adapterprimary protection in equipmentswitching mode power supply,time lag,,20mm,5.2mm,8a,ceramic,5x20mm,e2,268j,low,250v,150v,4w,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1000a,8a,250v,250v,150v,"['A52', 'A50', 'A3', 'A331', 'A247']"
a20,indicator red slow blow movement 16a 250v holder plastic 5 x 20mm ceramic box ccccsapseulvdeculus electric indicator time lag blow 16a 250vac 125vdc 500a ir inlineholder 5x20mm,slow blow,rated breaking capacity at 125 vdc: 1500 a,power supply adapterprimary protection on pcbswitching mode power supply,time lag,,20mm,5.2mm,16a,ceramic,5x20mm,e2,1500j,low,250v,,4typw,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,20ms,5.2mm,20mm,500a,16a,250v,250v,125v,"['A59', 'A60', 'A58', 'A112', 'A23']"
a21,indicator slow blow movement 2.5a 5 x 20mm ceramic electric indicator 5 x 20mm,slow blow,,power supply adapterprimary protection on pcbswitching mode power supply,,,,,2.5a,ceramic,5 x 20mm,,,,250v,,,,,,,,,,,,,,,,,"['A228', 'A240', 'A217', 'A336', 'A340']"
a22,indicator red slow blow movement 6.3a 250v holder plastic 6.3 x 32mm glass box ul electric indicator time lag blow 6.3a 250vac 1500a ir h inlineholder,slow blow,,motor circuit,time lag,,31.8mm,6.35mm,6.3a,glass,6.3 x 32mm,,224j,low,250v,,1.9typw,holder,inlineholder,2.0,85cel,-40cel,6.35mm  x  31.8mm,15ms,6.35mm,31.8mm,1500a,6.3a,250v,250v,,"['A82', 'A100', 'A110', 'A475', 'A241']"
a23,indicator red slow blow movement 16a 250v holder plastic 6.3 x 32mm glass box ul electric indicator time lag blow 16a 250vac 1000a ir h inlineholder,slow blow,,motor circuit,time lag,,31.8mm,6.35mm,16a,glass,6.3 x 32mm,e2,1690j,low,250v,,3.8typw,holder,inlineholder,2.0,85cel,-40cel,6.35mm  x  31.8mm,15ms,6.35mm,31.8mm,1000a,16a,250v,250v,,"['A20', 'A112', 'A59', 'A60', 'A269']"
a24,indicator red slow blow movement 1a 250v holder plastic melf 5 x 20mm ceramic bag cccvdeculus electric indicator time lag blow 1a 250vac 300vdc 1500a ir surface mount,slow blow,rated breaking capacity at 300 vdc: 1500 a,motor circuit,time lag,,20mm,5.2mm,1a,ceramic,5 x 20mm,e4,1.1j,low,250v,300v,2.5w,holder,surface mount,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,1a,,250v,300v,"['A26', 'A35', 'A32', 'A27', 'A30']"
a25,indicators pn electric indicator time lag blow 1a 250vac 300vdc 1500a ir surface mount,,rated breaking capacity at 300 vdc: 1500 a,,time lag,,20mm,5.2mm,,,5 x 20mm,e4,1.1j,low,,,,,surface mount,,125cel,-55cel,5.2mm  x  20mm,10ms,,,1500a,1a,,250v,300v,"['A36', 'A33', 'A28', 'A39', 'A45']"
a26,indicator red slow blow movement 1a 250v holder plastic melf 5 x 20mm ceramic tr cccvdeculus electric indicator time lag blow 1a 250vac 300vdc 1500a ir surface mount,slow blow,rated breaking capacity at 300 vdc: 1500 a,motor circuit,time lag,,20mm,5.2mm,1a,ceramic,5 x 20mm,e4,1.1j,low,250v,300v,2.5w,holder,surface mount,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,1a,,250v,300v,"['A24', 'A37', 'A9', 'A34', 'A29']"
a27,indicator red slow blow movement 1.25a 250v holder plastic melf 5 x 20mm ceramic bag cccvdeculus electric indicator time lag blow 1.25a 250vac 300vdc 1500a ir surface mount,slow blow,rated breaking capacity at 300 vdc: 1500 a,motor circuit,time lag,,20mm,5.2mm,1.25a,ceramic,5 x 20mm,e4,1.86j,low,250v,300v,2.5w,holder,surface mount,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,1.25a,,250v,300v,"['A29', 'A35', 'A32', 'A24', 'A30']"
a28,indicators pn electric indicator time lag blow 1.25a 250vac 300vdc 1500a ir surface mount,,rated breaking capacity at 300 vdc: 1500 a,,time lag,,20mm,5.2mm,,,5 x 20mm,e4,1.86j,low,,,,,surface mount,,125cel,-55cel,5.2mm  x  20mm,10ms,,,1500a,1.25a,,250v,300v,"['A36', 'A33', 'A25', 'A39', 'A45']"
a29,indicator red slow blow movement 1.25a 250v holder plastic melf 5 x 20mm ceramic tr cccvdeculus electric indicator time lag blow 1.25a 250vac 300vdc 1500a ir surface mount,slow blow,rated breaking capacity at 300 vdc: 1500 a,motor circuit,time lag,,20mm,5.2mm,1.25a,ceramic,5 x 20mm,e4,1.86j,low,250v,300v,2.5w,holder,surface mount,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,1.25a,,250v,300v,"['A27', 'A37', 'A34', 'A26', 'A35']"
a30,indicator red slow blow movement 1.6a 250v holder plastic melf 5 x 20mm ceramic bag cccvdeculus electric indicator time lag blow 1.6a 250vac 300vdc 1500a ir surface mount,slow blow,rated breaking capacity at 300 vdc: 1500 a,motor circuit,time lag,,20mm,5.2mm,1.6a,ceramic,5 x 20mm,e4,4.35j,low,250v,300v,2.5w,holder,surface mount,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,1.6a,,250v,300v,"['A31', 'A35', 'A32', 'A24', 'A27']"
a31,indicator red slow blow movement 1.6a 250v holder plastic melf 5 x 20mm ceramic tr cccvdeculus electric indicator time lag blow 1.6a 250vac 300vdc 1500a ir surface mount,slow blow,rated breaking capacity at 300 vdc: 1500 a,motor circuit,time lag,,20mm,5.2mm,1.6a,ceramic,5 x 20mm,e4,4.35j,low,250v,300v,2.5w,holder,surface mount,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,1.6a,,250v,300v,"['A30', 'A37', 'A254', 'A34', 'A26']"
a32,indicator red slow blow movement 2a 250v holder plastic melf 5 x 20mm ceramic bag cccvdeculus electric indicator time lag blow 2a 250vac 300vdc 1500a ir surface mount,slow blow,rated breaking capacity at 300 vdc: 1500 a,motor circuit,time lag,,20mm,5.2mm,2a,ceramic,5 x 20mm,e4,9.2j,low,250v,300v,2.5w,holder,surface mount,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,2a,,250v,300v,"['A34', 'A35', 'A24', 'A27', 'A30']"
a33,indicators pn electric indicator time lag blow 2a 250vac 300vdc 1500a ir surface mount,,rated breaking capacity at 300 vdc: 1500 a,,time lag,,20mm,5.2mm,,,5 x 20mm,e4,9.2j,low,,,,holder,surface mount,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,2a,,250v,300v,"['A36', 'A25', 'A28', 'A39', 'A45']"
a34,indicator red slow blow movement 2a 250v holder plastic melf 5 x 20mm ceramic tr cccvdeculus electric indicator time lag blow 2a 250vac 300vdc 1500a ir surface mount,slow blow,rated breaking capacity at 300 vdc: 1500 a,motor circuit,time lag,,20mm,5.2mm,2a,ceramic,5 x 20mm,e4,9.2j,low,250v,300v,2.5w,holder,surface mount,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,2a,,250v,300v,"['A32', 'A37', 'A26', 'A29', 'A35']"
a35,indicator red slow blow movement 2.5a 250v holder plastic melf 5 x 20mm ceramic bag cccvdeculus electric indicator time lag blow 2.5a 250vac 300vdc 1500a ir surface mount,slow blow,rated breaking capacity at 300 vdc: 1500 a,motor circuit,time lag,,20mm,5.2mm,2.5a,ceramic,5 x 20mm,e4,11.7j,low,250v,300v,2.5w,holder,surface mount,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,2.5a,,250v,300v,"['A37', 'A44', 'A32', 'A24', 'A27']"
a36,indicators pn electric indicator time lag blow 2.5a 250vac 300vdc 1500a ir surface mount,,rated breaking capacity at 300 vdc: 1500 a,,time lag,,20mm,5.2mm,,,5 x 20mm,e4,11.7j,low,,,,,surface mount,,125cel,-55cel,5.2mm  x  20mm,10ms,,,1500a,2.5a,,250v,300v,"['A33', 'A25', 'A28', 'A39', 'A45']"
a37,indicator red slow blow movement 2.5a 250v holder plastic melf 5 x 20mm ceramic tr cccvdeculus electric indicator time lag blow 2.5a 250vac 300vdc 1500a ir surface mount,slow blow,rated breaking capacity at 300 vdc: 1500 a,motor circuit,time lag,,20mm,5.2mm,2.5a,ceramic,5 x 20mm,e4,11.7j,low,250v,300v,2.5w,holder,surface mount,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,2.5a,,250v,300v,"['A35', 'A46', 'A44', 'A34', 'A26']"
a38,indicator red slow blow movement 3.15a 250v holder plastic melf 5 x 20mm ceramic bag cccvdeculus electric indicator time lag blow 3.15a 250vac 300vdc 1500a ir surface mount,slow blow,rated breaking capacity at 300 vdc: 1500 a,motor circuit,time lag,,20mm,5.2mm,3.15a,ceramic,5 x 20mm,e4,33.7j,low,250v,300v,4w,holder,surface mount,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,3.15a,,250v,300v,"['A40', 'A35', 'A14', 'A32', 'A24']"
a39,indicators pn electric indicator time lag blow 3.15a 250vac 300vdc 1500a ir surface mount,,rated breaking capacity at 300 vdc: 1500 a,,time lag,,20mm,5.2mm,,,5 x 20mm,e4,33.7j,low,,,,,surface mount,,125cel,-55cel,5.2mm  x  20mm,10ms,,,1500a,3.15a,,250v,300v,"['A36', 'A33', 'A25', 'A28', 'A45']"
a40,indicator red slow blow movement 3.15a 250v holder plastic melf 5 x 20mm ceramic tr cccvdeculus electric indicator time lag blow 3.15a 250vac 300vdc 1500a ir surface mount,slow blow,rated breaking capacity at 300 vdc: 1500 a,motor circuit,time lag,,20mm,5.2mm,3.15a,ceramic,5 x 20mm,e4,33.7j,low,250v,300v,4w,holder,surface mount,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,3.15a,,250v,300v,"['A38', 'A14', 'A37', 'A34', 'A26']"
a41,indicator red slow blow movement 4a 250v holder plastic melf 5 x 20mm ceramic bag cccvdeculus electric indicator time lag blow 4a 250vac 150vdc 1500a ir surface mount,slow blow,rated breaking capacity at 150 vdc: 1500 a,motor circuit,time lag,,20mm,5.2mm,4a,ceramic,5 x 20mm,e4,62.4j,low,250v,150v,4w,holder,surface mount,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,4a,,250v,150v,"['A42', 'A43', 'A44', 'A47', 'A46']"
a42,indicator red slow blow movement 4a 250v holder plastic melf 5 x 20mm ceramic tr cccvdeculus electric indicator time lag blow 4a 250vac 150vdc 1500a ir surface mount,slow blow,rated breaking capacity at 150 vdc: 1500 a,motor circuit,time lag,,20mm,5.2mm,4a,ceramic,5 x 20mm,e4,62.4j,low,250v,150v,4w,holder,surface mount,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,4a,,250v,150v,"['A43', 'A41', 'A46', 'A49', 'A44']"
a43,indicator red slow blow movement 4a 250v holder plastic melf 5 x 20mm ceramic tr cccvdeculus electric indicator time lag blow 4a 250vac 150vdc 1500a ir surface mount,slow blow,rated breaking capacity at 150 vdc: 1500 a,motor circuit,time lag,,20mm,5.2mm,4a,ceramic,5 x 20mm,e4,62.4j,low,250v,150v,4w,holder,surface mount,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,4a,,250v,150v,"['A43', 'A41', 'A46', 'A49', 'A44']"
a44,indicator red slow blow movement 5a 250v holder plastic melf 5 x 20mm ceramic bag cccvdeculus electric indicator time lag blow 5a 250vac 150vdc 1500a ir surface mount,slow blow,rated breaking capacity at 150 vdc: 1500 a,motor circuit,time lag,,20mm,5.2mm,5a,ceramic,5 x 20mm,e4,97.5j,low,250v,150v,4w,holder,surface mount,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,5a,,250v,150v,"['A46', 'A35', 'A47', 'A41', 'A37']"
a45,indicators pn electric indicator time lag blow 5a 250vac 150vdc 1500a ir surface mount,,rated breaking capacity at 150 vdc: 1500 a,,time lag,,20mm,5.2mm,,,5 x 20mm,e4,97.5j,low,,,,,surface mount,,125cel,-55cel,5.2mm  x  20mm,10ms,,,1500a,5a,,250v,150v,"['A48', 'A36', 'A54', 'A51', 'A33']"
a46,indicator red slow blow movement 5a 250v holder plastic melf 5 x 20mm ceramic tr cccvdeculus electric indicator time lag blow 5a 250vac 150vdc 1500a ir surface mount,slow blow,rated breaking capacity at 150 vdc: 1500 a,motor circuit,time lag,,20mm,5.2mm,5a,ceramic,5 x 20mm,e4,97.5j,low,250v,150v,4w,holder,surface mount,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,5a,,250v,150v,"['A44', 'A37', 'A49', 'A35', 'A42']"
a47,indicator red slow blow movement 6.3a 250v holder plastic melf 5 x 20mm ceramic bag cccvdeculus electric indicator time lag blow 6.3a 250vac 150vdc 1500a ir surface mount,slow blow,rated breaking capacity at 150 vdc: 1500 a,motor circuit,time lag,,20mm,5.2mm,6.3a,ceramic,5 x 20mm,e4,171j,low,250v,150v,4w,holder,surface mount,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,6.3a,,250v,150v,"['A49', 'A44', 'A41', 'A46', 'A17']"
a48,indicators pn electric indicator time lag blow 6.3a 250vac 150vdc 1500a ir surface mount,,rated breaking capacity at 150 vdc: 1500 a,,time lag,,20mm,5.2mm,,,5 x 20mm,e4,171j,low,,,,,surface mount,,125cel,-55cel,5.2mm  x  20mm,10ms,,,1500a,6.3a,,250v,150v,"['A45', 'A54', 'A51', 'A36', 'A33']"
a49,indicator red slow blow movement 6.3a 250v holder plastic melf 5 x 20mm ceramic tr cccvdeculus electric indicator time lag blow 6.3a 250vac 150vdc 1500a ir surface mount,slow blow,rated breaking capacity at 150 vdc: 1500 a,motor circuit,time lag,,20mm,5.2mm,6.3a,ceramic,5 x 20mm,e4,171j,low,250v,150v,4w,holder,surface mount,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,6.3a,,250v,150v,"['A47', 'A46', 'A17', 'A42', 'A43']"
a50,indicator red slow blow movement 8a 250v holder plastic melf 5 x 20mm ceramic bag cccvdeculus electric indicator time lag blow 8a 250vac 150vdc 1000a ir surface mount,slow blow,rated breaking capacity at 150 vdc: 1500 a,motor circuit,time lag,,20mm,5.2mm,8a,ceramic,5 x 20mm,e4,268j,low,250v,150v,4w,holder,surface mount,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1000a,8a,,250v,150v,"['A52', 'A19', 'A53', 'A44', 'A47']"
a51,indicators pn electric indicator time lag blow 8a 250vac 150vdc 1000a ir surface mount,,rated breaking capacity at 150 vdc: 1500 a,,time lag,,20mm,5.2mm,,,5 x 20mm,e4,268j,low,,,,,surface mount,,125cel,-55cel,5.2mm  x  20mm,10ms,,,1000a,8a,,250v,150v,"['A54', 'A45', 'A48', 'A36', 'A33']"
a52,indicator red slow blow movement 8a 250v holder plastic melf 5 x 20mm ceramic tr cccvdeculus electric indicator time lag blow 8a 250vac 150vdc 1000a ir surface mount,slow blow,rated breaking capacity at 150 vdc: 1500 a,motor circuit,time lag,,20mm,5.2mm,8a,ceramic,5 x 20mm,e4,268j,low,250v,150v,4w,holder,surface mount,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1000a,8a,,250v,150v,"['A50', 'A19', 'A55', 'A46', 'A53']"
a53,indicator red slow blow movement 10a 250v holder plastic melf 5 x 20mm ceramic bag cccvdeculus electric indicator time lag blow 10a 250vac 150vdc 1000a ir surface mount,slow blow,rated breaking capacity at 150 vdc: 1500 a,motor circuit,time lag,,20mm,5.2mm,10a,ceramic,5 x 20mm,e4,400j,low,250v,150v,4w,holder,surface mount,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1000a,10a,,250v,150v,"['A55', 'A50', 'A44', 'A47', 'A41']"
a54,indicators pn electric indicator time lag blow 10a 250vac 150vdc 1000a ir surface mount,,rated breaking capacity at 150 vdc: 1500 a,,time lag,,20mm,5.2mm,,,5 x 20mm,e4,400j,low,,,,,surface mount,,125cel,-55cel,5.2mm  x  20mm,10ms,,,1000a,10a,,250v,150v,"['A51', 'A45', 'A48', 'A36', 'A33']"
a55,indicator red slow blow movement 10a 250v holder plastic melf 5 x 20mm ceramic tr cccvdeculus electric indicator time lag blow 10a 250vac 150vdc 1000a ir surface mount,slow blow,rated breaking capacity at 150 vdc: 1500 a,motor circuit,time lag,,20mm,5.2mm,10a,ceramic,5 x 20mm,e2,400j,low,250v,150v,4w,holder,surface mount,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1000a,10a,,250v,150v,"['A53', 'A52', 'A46', 'A134', 'A50']"
a56,indicator red slow blow movement 12.5a 250v holder plastic melf 5 x 20mm ceramic bag cccvdeculus electric indicator time lag blow 12.5a 250vac 125vdc 500a ir surface mount,slow blow,rated breaking capacity at 125 vdc: 1500 a,motor circuit,time lag,,20mm,5.2mm,12.5a,ceramic,5 x 20mm,e4,563j,low,250v,125v,,holder,surface mount,2.0,125cel,-55cel,5.2mm  x  20mm,20ms,5.2mm,20mm,500a,12.5a,,250v,125v,"['A57', 'A6', 'A5', 'A35', 'A44']"
a57,indicator red slow blow movement 12.5a 250v holder plastic melf 5 x 20mm ceramic tr cccvdeculus electric indicator time lag blow 12.5a 250vac 125vdc 500a ir surface mount,slow blow,rated breaking capacity at 125 vdc: 1500 a,motor circuit,time lag,,20mm,5.2mm,12.5a,ceramic,5 x 20mm,e4,563j,low,250v,125v,,holder,surface mount,2.0,125cel,-55cel,5.2mm  x  20mm,20ms,5.2mm,20mm,500a,12.5a,,250v,125v,"['A56', 'A6', 'A5', 'A267', 'A37']"
a58,indicator red slow blow movement 16a 250v holder plastic melf 5 x 20mm ceramic bag cccvdeculus electric indicator time lag blow 16a 250vac 125vdc 500a ir surface mount,slow blow,rated breaking capacity at 125 vdc: 1500 a,motor circuit,time lag,,20mm,5.2mm,16a,ceramic,5 x 20mm,e4,1272j,low,250v,125v,,holder,surface mount,2.0,125cel,-55cel,5.2mm  x  20mm,20ms,5.2mm,20mm,500a,16a,,250v,125v,"['A59', 'A60', 'A20', 'A269', 'A23']"
