ID,DESCRIPTION,Attribut1,Additional Feature,Application,Characteristic,Temp,Height,Length in mm,Rating,Material,Size,Code,Joule-integral-Nom (J),LC Risk,Maximum AC Voltage Rating,Maximum DC Voltage Rating,Maximum Power Dissipation,Mounting,Mounting Feature,Number of Terminals,Operating Temperature-Max (Cel),Operating Temperature-Min (Cel),Physical Dimension,Pre-arcing time-Min (ms),Product Diameter,Product Length,Rated Breaking Capacity (A),Rated Current (A),Rated Voltage (V),Rated Voltage(AC) (V),Rated Voltage(DC) (V),SIMILAR_PARTS
a579,indicator 2a electric indicator,,,motor circuit,,,,,2a,,,,,,,,,,,2.0,,,,,,,,,,,,"['A660', 'A604', 'A777', 'A832', 'A810']"
a580,indicator 1.5a electric indicator,,,motor circuit,,,,,1.5a,,,,,,,,,,,2.0,,,,,,,,,,,,"['A532', 'A443', 'A444', 'A991', 'A669']"
a581,indicator 0.25a electric indicator,,,motor circuit,,,,,0.25a,,,,,,,,,,,2.0,,,,,,,,,,,,"['A448', 'A449', 'A676', 'A807', 'A462']"
a582,indicator 0.375a electric indicator,,,motor circuit,,,,,0.375a,,,,,,,,,,,2.0,,,,,,,,,,,,"['A686', 'A609', 'A814', 'A815', 'A476']"
a583,indicator 0.75a electric indicator,,,motor circuit,,,,,0.75a,,,,,,,,,,,2.0,,,,,,,,,,,,"['A679', 'A819', 'A479', 'A958', 'A959']"
a584,indicator electric indicator very fast blow 1a 63vac  50a ir surface mount,,rated breaking capacity at 63 vdc: 50 a,,very fast,1.52mm,0.58mm,3.18mm,,,,e0,0.035j,high,,,,,surface mount,,90cel,-55cel,3.18mm  x  1.52mm  x  0.58mm,,,,50a,1a,,63v,63v,"['A586', 'A602', 'A821', 'A585', 'A616']"
a585,indicator chip very fast movement 1a 63v smd solder pad 1206 epoxy tr csaul electric indicator very fast blow 1a 63vac 63vdc 50a ir surface mount,very fast,rated breaking capacity at 63 vdc: 50 a,battery packcell phonedigital cameradvd playerhard disk drive,very fast,1.52mm,0.58mm,3.18mm,1a,epoxy,3.18 x 1.52 x 0.58mm,e0,0.035j,high,63v,63v,,surface mount,surface mount,2.0,90cel,-55cel,3.18mm  x  1.52mm  x  0.58mm,,,3.18mm,50a,1a,,63v,63v,"['A693', 'A541', 'A612', 'A596', 'A588']"
a586,indicator electric indicator very fast blow 2a 63vac  50a ir surface mount,,rated breaking capacity at 63 vdc: 50 a,,very fast,1.52mm,0.58mm,3.18mm,,,,e0,0.23j,high,,,,,surface mount,,90cel,-55cel,3.18mm  x  1.52mm  x  0.58mm,,,,50a,2a,,63v,63v,"['A584', 'A602', 'A604', 'A777', 'A588']"
a587,indicator very fast movement 2a surface mount 3.18 x 1.52 x 0.58mm epoxy electric indicator 3.18 x 1.52 x 0.58mm,very fast,,battery packcell phonedigital cameradvd playerhard disk drive,,,,,2a,epoxy,3.18 x 1.52 x 0.58mm,,,,63v,63v,,surface mount,,2.0,,,,,,3.18mm,,,,,,"['A605', 'A610', 'A600', 'A542', 'A562']"
a588,indicator chip very fast movement 2a 63v smd solder pad 1206 epoxy tr csaul electric indicator very fast blow 2a 63vac 63vdc 50a ir surface mount,very fast,rated breaking capacity at 63 vdc: 50 a,battery packcell phonedigital cameradvd playerhard disk drive,very fast,1.52mm,0.58mm,3.18mm,2a,epoxy,3.18 x 1.52 x 0.58mm,e0,0.23j,high,63v,63v,,surface mount,surface mount,2.0,90cel,-55cel,3.18mm  x  1.52mm  x  0.58mm,,,3.18mm,50a,2a,,63v,63v,"['A695', 'A543', 'A612', 'A596', 'A606']"
a589,indicator electric indicator very fast blow 3a 32vac  50a ir surface mount,,rated breaking capacity at 32 vdc: 50 a,,very fast,1.52mm,0.58mm,3.18mm,,,,e0,0.7j,high,,,,,surface mount,,90cel,-55cel,3.18mm  x  1.52mm  x  0.58mm,,,,50a,3a,,32v,32v,"['A622', 'A779', 'A803', 'A616', 'A590']"
a590,indicator chip very fast movement 3a 32v smd solder pad 1206 epoxy tr csaul electric indicator very fast blow 3a 32vac 32vdc 50a ir surface mount,very fast,rated breaking capacity at 32 vdc: 50 a,battery packcell phonedigital cameradvd playerhard disk drive,very fast,1.52mm,0.58mm,3.18mm,3a,epoxy,3.18 x 1.52 x 0.58mm,e0,0.7j,high,32v,32v,,surface mount,surface mount,2.0,90cel,-55cel,3.18mm  x  1.52mm  x  0.58mm,,,3.18mm,50a,3a,,32v,32v,"['A623', 'A747', 'A546', 'A696', 'A598']"
a591,indicator electric indicator very fast blow 4a 24vac  50a ir surface mount,,rated breaking capacity at 24 vdc: 50 a,,very fast,1.52mm,0.58mm,3.18mm,,,,e0,1.024j,high,,,,,surface mount,,90cel,-55cel,3.18mm  x  1.52mm  x  0.58mm,,,,50a,4a,,24v,24v,"['A593', 'A595', 'A592', 'A781', 'A846']"
a592,indicator chip very fast movement 4a 24v smd solder pad 1206 epoxy tr csaul electric indicator very fast blow 4a 24vac 24vdc 50a ir surface mount,very fast,rated breaking capacity at 24 vdc: 50 a,battery packcell phonedigital cameradvd playerhard disk drive,very fast,1.52mm,0.58mm,3.18mm,4a,epoxy,3.18 x 1.52 x 0.58mm,e0,1.024j,high,24v,24v,,surface mount,surface mount,2.0,90cel,-55cel,3.18mm  x  1.52mm  x  0.58mm,,,3.18mm,50a,4a,,24v,24v,"['A594', 'A548', 'A552', 'A553', 'A591']"
a593,indicator electric indicator very fast blow 5a 24vac  50a ir surface mount,,rated breaking capacity at 24 vdc: 50 a,,very fast,1.52mm,0.58mm,3.18mm,,,,e0,1.6j,high,,,,,surface mount,,90cel,-55cel,3.18mm  x  1.52mm  x  0.58mm,,,,50a,5a,,24v,24v,"['A591', 'A595', 'A594', 'A783', 'A797']"
a594,indicator chip very fast movement 5a 24v smd solder pad 1206 epoxy tr csaul electric indicator very fast blow 5a 24vac 24vdc 50a ir surface mount,very fast,rated breaking capacity at 24 vdc: 50 a,battery packcell phonedigital cameradvd playerhard disk drive,very fast,1.52mm,0.58mm,3.18mm,5a,epoxy,3.18 x 1.52 x 0.58mm,e0,1.6j,high,24v,24v,,surface mount,surface mount,2.0,90cel,-55cel,3.18mm  x  1.52mm  x  0.58mm,,,3.18mm,50a,5a,,24v,24v,"['A592', 'A552', 'A553', 'A536', 'A548']"
a595,indicator electric indicator very fast blow 7a 24vac  50a ir surface mount,,rated breaking capacity at 24 vdc: 50 a,,very fast,1.52mm,0.58mm,3.18mm,,,,e0,3.969j,high,,,,,surface mount,,90cel,-55cel,3.18mm  x  1.52mm  x  0.58mm,,,,50a,7a,,24v,24v,"['A593', 'A591', 'A785', 'A552', 'A553']"
a596,indicator chip very fast movement 1.5a 63v smd solder pad 1206 epoxy csaul electric indicator very fast blow 1.5a 63vac 63vdc 50a ir surface mount 1206,very fast,rated breaking capacity at 63 vdc: 50 a,battery packcell phonedigital cameradvd playerhard disk drive,very fast,1.52mm,0.58mm,3.18mm,1.5a,epoxy,3.18 x 1.52mm,e0,0.125j,high,63v,63v,,surface mount,surface mount,2.0,90cel,-55cel,3.18mm  x  1.52mm  x  0.58mm,,,3.18mm,50a,1.5a,63v,63v,63v,"['A612', 'A597', 'A701', 'A709', 'A757']"
a597,indicator chip very fast movement 1.5a 63v smd solder pad 1206 epoxy tr csa electric indicator very fast blow 1.5a 63vac 63vdc 50a ir surface mount 1206,very fast,rated breaking capacity at 63 vdc: 50 a,battery packcell phonedigital cameradvd playerhard disk drive,very fast,1.52mm,0.58mm,3.18mm,1.5a,epoxy,3.18 x 1.52 x 0.58mm,e0,0.125j,high,63v,63v,,surface mount,surface mount,2.0,90cel,-55cel,3.18mm  x  1.52mm  x  0.58mm,,,3.18mm,50a,1.5a,63v,63v,63v,"['A596', 'A612', 'A701', 'A709', 'A757']"
